Date,btc_c,btc_h,btc_l,btc_o,btc_v,sp500_c,dowj_c,nasdaq_c,eurostoxx_c,nikkei_c,day,month,Year,btc_prev_c1,btc_prev_c2,btc_prev_c3,btc_prev_c4,btc_prev_c5,btc_prev_c6,btc_prev_c7,NextClose_BTC1,NextClose_BTC2,NextClose_BTC3,NextClose_BTC4,NextClose_BTC5,NextClose_BTC6,NextClose_BTC7,is_month_start,is_month_end,btc_pct_prev1,btc_pct_prev2,btc_pct_prev3,btc_pct_prev4,btc_pct_prev5,btc_pct_prev6,btc_pct_prev7,fng_value,bitcoin,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14
2023-05-31,27219.658203125,27831.677734375,26866.453125,27700.529296875,15656371534,4179.830078125,32908.26953125,14254.08984375,4218.0400390625,30887.880859375,Wednesday,May,2023,27702.349609375,27745.884765625,28085.646484375,26868.353515625,26719.291015625,26476.20703125,26334.818359375,26819.97265625,27249.58984375,27075.12890625,27119.06640625,25760.09765625,27238.783203125,26345.998046875,0,1,-1.7424204555076734,-1.8965931955140025,-3.0833838264388134,1.307503592639953,1.872681379185524,2.807997274675715,3.359961825728726,51,17.0,48.10271522360586,26188.43794840968,27049.140820312503,27909.843692215327,6.363994166176847,0.5990570546346156,-134.50805651678456,132.46766696749387,-266.97572348427843,782.8966287925728
2022-02-02,36952.984375,38834.6171875,36832.73046875,38743.71484375,19155189416,4589.3798828125,35629.328125,15139.740234375,4222.0498046875,27533.599609375,Wednesday,February,2022,38743.2734375,38483.125,37917.6015625,38138.1796875,37784.33203125,37138.234375,36852.12109375,37154.6015625,41500.875,41441.1640625,42412.43359375,43840.28515625,44118.4453125,44338.796875,0,0,-4.620902943031038,-3.976134019781398,-2.543982603725636,-3.107634717260652,-2.200244417613162,-0.49881208172002656,0.27369735650604404,28,40.0,35.04101590977908,33585.18239528475,38991.223046875006,44397.26369846526,27.729525924801845,0.31148507722787555,-1758.8375837680505,314.8782255402566,-2073.715809308307,1875.6793851215727
2025-01-29,103703.2109375,104750.8046875,101283.8203125,101317.5234375,47432049818,6039.31005859375,44713.51953125,21411.4609375,5230.66015625,39414.78125,Wednesday,January,2025,101332.4765625,102087.6875,102682.5,104714.6484375,104819.484375,103960.171875,103653.0703125,104735.3046875,102405.0234375,100655.90625,97688.9765625,101405.421875,97871.8203125,96615.4453125,0,0,2.3395602825692063,1.5824860735531892,0.9940456626007352,-0.965898768789437,-1.0649484150355515,-0.247172482370427,0.04837350678453884,72,31.0,56.825056527638154,93140.19907087988,101007.21757812501,108874.23608537014,15.577141309056069,0.6713478465121262,1614.0222303301998,-76.73174505422571,1690.7539753844255,4145.457403677046
2022-11-28,16217.322265625,16482.93359375,16054.5302734375,16440.22265625,27743025156,3963.93994140625,33849.4609375,11587.75,3935.510009765625,28162.830078125,Monday,November,2022,16444.626953125,16464.28125,16521.841796875,16604.46484375,16610.70703125,16189.76953125,15787.2841796875,16444.982421875,17168.56640625,16967.1328125,17088.66015625,16908.236328125,17130.486328125,16974.826171875,0,0,-1.382242893973371,-1.4999682076920302,-1.8431330779816444,-2.3315570948420077,-2.3682602124335745,0.17018608153634832,2.7239522709726276,28,22.0,37.11194485164764,15761.999088160332,16552.78095703125,17343.562825902165,9.55467085468814,0.28789429512008263,-691.0823978747176,79.24589769304589,-770.3282955677635,573.1913657488044
2023-04-10,29652.98046875,29771.46484375,28189.271484375,28336.02734375,19282400094,4109.10986328125,33586.51953125,13051.23046875,,27633.66015625,Monday,April,2023,28333.05078125,27947.794921875,27925.859375,28044.140625,28177.984375,28168.08984375,27790.220703125,30235.05859375,30139.052734375,30399.06640625,30485.69921875,30318.49609375,30315.35546875,29445.044921875,0,0,4.658621825410667,6.101324099599483,6.184665870287116,5.736812781190367,5.234569208785005,5.271534680685744,6.702932609007791,62,23.0,68.80981075926785,26914.383528003993,28027.135253906254,29139.886979808514,7.940531315965816,1.2305516482238885,853.652310233032,-72.64415187939608,926.2964621124281,962.0263880625802
2024-07-21,68154.5234375,68372.90625,65842.296875,67164.9140625,26652190004,,,,,,Sunday,July,2024,67163.6484375,66710.15625,63974.06640625,64118.79296875,65097.1484375,64870.15234375,60787.79296875,67585.25,65927.671875,65372.1328125,65777.2265625,67912.0625,67813.3359375,68255.8671875,0,0,1.4753144342985947,2.165138366768553,6.534612017161984,6.294146040330049,4.696634297177236,5.062992724829692,12.118766135393523,74,24.0,67.60246646637125,52856.59712259773,60890.2548828125,68923.91264302727,26.387334970681604,0.9521146389047381,1170.9350297296623,1229.3271662800378,-58.39213655037544,2392.4389042582056
2024-04-18,63512.75390625,64125.6875,60833.48046875,61275.31640625,36006307335,5011.1201171875,37775.37890625,17394.310546875,4936.56982421875,38079.69921875,Thursday,April,2024,61276.69140625,63811.86328125,63426.2109375,65738.7265625,63821.47265625,67195.8671875,70060.609375,63843.5703125,64994.44140625,64926.64453125,66837.6796875,66407.2734375,64276.8984375,64481.70703125,0,0,3.6491240774986258,-0.4687363126848046,0.13644669525549805,-3.3860903194309575,-0.48372238550933433,-5.48116042757931,-9.345987034886534,57,42.0,44.08179271060104,61290.91258902509,67345.8244140625,73400.73623909992,17.981550831748635,0.183474291734313,-925.1979697252536,-914.0234805882047,-11.174489137048957,3628.5588429434424
2020-10-23,12931.5390625,13015.9619140625,12752.6474609375,12971.548828125,28974975003,,,,,,Friday,October,2020,12965.8916015625,12823.689453125,11916.3349609375,11742.037109375,11483.359375,11358.1015625,11322.123046875,13108.0625,13031.173828125,13075.248046875,13654.21875,13271.28515625,13437.8828125,13546.5224609375,0,0,-0.2649454439242746,0.8410185677782315,8.519432400065988,10.130286099805337,12.611115268697231,13.85299727548549,14.21479000856833,74,16.0,71.52697230584744,10077.031899406527,11492.308984375002,12907.586069343477,24.629986661387058,1.0084622980937534,,,,330.0234240708067
2021-05-02,56631.078125,57902.59375,56141.90625,57825.86328125,38177405335,,,,,,Sunday,May,2021,57828.05078125,57750.17578125,53555.109375,54824.703125,55033.1171875,54021.75390625,49004.25390625,57200.29296875,53333.5390625,57424.0078125,56396.515625,57356.40234375,58803.77734375,58232.31640625,0,0,-2.0698824187899185,-1.937825540980158,5.743557964678323,3.2948194828916364,2.9036351549116945,4.830136065700962,15.563596240728145,66,43.0,51.708067615586714,47577.78484504905,56302.9189453125,65028.05304557595,30.993540881026956,0.5188053946172353,-444.00431105390453,336.4960530419445,-780.500364095849,3052.870286891916
2023-05-19,26890.12890625,27128.619140625,26700.2109375,26826.75390625,11258983301,4191.97998046875,33426.62890625,13803.490234375,4395.2998046875,30808.349609375,Friday,May,2023,26832.208984375,27398.802734375,27036.650390625,27192.693359375,26930.638671875,26784.078125,26804.990234375,27129.5859375,26753.826171875,26851.27734375,27225.7265625,26334.818359375,26476.20703125,26719.291015625,0,0,0.21585968530853378,-1.8565549489752313,-0.5419365278540812,-1.1126682051180024,-0.1504225953144823,0.39594710243550707,0.31762246928863747,48,18.0,40.67100244372105,25964.325082666546,27831.73515625,29699.145229833455,13.419286027979478,0.24788444613209365,-435.7069734155011,-92.04981275099294,-343.6571606645082,868.8636009298287
