Date,btc_c,btc_h,btc_l,btc_o,btc_v,sp500_c,dowj_c,nasdaq_c,eurostoxx_c,nikkei_c,day,month,Year,btc_prev_c1,btc_prev_c2,btc_prev_c3,btc_prev_c4,btc_prev_c5,btc_prev_c6,btc_prev_c7,NextClose_BTC1,NextClose_BTC2,NextClose_BTC3,NextClose_BTC4,NextClose_BTC5,NextClose_BTC6,NextClose_BTC7,is_month_start,is_month_end,btc_pct_prev1,btc_pct_prev2,btc_pct_prev3,btc_pct_prev4,btc_pct_prev5,btc_pct_prev6,btc_pct_prev7,fng_value,bitcoin,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14
2023-12-01,38688.75,38954.109375,37629.359375,37718.0078125,23512784002,4594.6298828125,36245.5,15997.580078125,4418.509765625,33431.51171875,Friday,December,2023,37712.74609375,37858.4921875,37831.0859375,37254.16796875,37479.12109375,37796.79296875,37720.28125,39476.33203125,39978.390625,41980.09765625,44080.6484375,43746.4453125,43292.6640625,44166.6015625,1,0,2.5879947957747627,2.1930556779388377,2.2670881399411322,3.85079605711064,3.2274740467479033,2.359874902580917,2.5675014021800275,71,20.0,65.04323539329029,35634.403087455925,37202.6484375,38770.893787544075,8.430826384195246,0.9738102881855296,932.4412305424194,-78.61781021931847,1011.0590407617378,1080.8641115321445
2023-12-02,39476.33203125,39678.9375,38652.59375,38689.27734375,15534035612,,,,,,Saturday,December,2023,38688.75,37712.74609375,37858.4921875,37831.0859375,37254.16796875,37479.12109375,37796.79296875,39978.390625,41980.09765625,44080.6484375,43746.4453125,43292.6640625,44166.6015625,43725.984375,0,0,2.035687457594262,4.676365738829803,4.2733868949069596,4.348926426452783,5.964873687057038,5.328862788708922,4.443602037581933,74,20.0,68.57106684631714,35457.893401677204,37323.739062500004,39189.584723322805,9.998171178393312,1.0768411112312326,1014.043706362565,2.3877324806617253,1011.6559738819033,1076.9697999941343
2023-12-03,39978.390625,40135.60546875,39298.1640625,39472.20703125,15769696322,,,,,,Sunday,December,2023,39476.33203125,38688.75,37712.74609375,37858.4921875,37831.0859375,37254.16796875,37479.12109375,41980.09765625,44080.6484375,43746.4453125,43292.6640625,44166.6015625,43725.984375,43779.69921875,0,0,1.2717964611113404,3.3333737197505737,6.007636053916205,5.599532139317322,5.676032379952085,7.31253120063013,6.668431538184541,73,31.0,70.60743972777611,35330.567766178385,37497.540820312504,39664.513874446624,11.557947570579163,1.0724228549945665,1106.4714745964375,75.85240057162741,1030.61907402481,1059.8606290124105
2023-12-04,41980.09765625,42371.75,39978.62890625,39978.62890625,39856129827,4569.77978515625,36204.44140625,15839.669921875,4414.9501953125,33231.26953125,Monday,December,2023,39978.390625,39476.33203125,38688.75,37712.74609375,37858.4921875,37831.0859375,37254.16796875,44080.6484375,43746.4453125,43292.6640625,44166.6015625,43725.984375,43779.69921875,41243.83203125,0,0,5.006972516793252,6.342447477181986,8.507247342573745,11.315409256838004,10.886871691395198,10.967202278053824,12.685640144920866,74,31.0,77.00474054054885,35048.315437788464,37819.663671875,40591.01190596154,14.655594286246814,1.2506155186856762,1325.9573641717361,236.2706321175408,1089.6867320541953,1155.1105394400954
2023-12-05,44080.6484375,44408.6640625,41421.1484375,41986.265625,36312154535,4567.18017578125,36124.55859375,15877.7099609375,4452.77001953125,32775.8203125,Tuesday,December,2023,41980.09765625,39978.390625,39476.33203125,38688.75,37712.74609375,37858.4921875,37831.0859375,43746.4453125,43292.6640625,44166.6015625,43725.984375,43779.69921875,41243.83203125,41450.22265625,0,0,5.0036824555534825,10.261187977723903,11.663485864403919,13.93660544085813,16.885278860149963,16.43529863572964,16.519648709859347,75,31.0,81.5442456556193,34189.16367325362,38129.6669921875,42070.17031112138,20.66896267277268,1.2551042295432662,1650.3739227230762,448.54975253510474,1201.8241701879715,1285.9966169800887
2023-12-06,43746.4453125,44265.76953125,43478.08203125,44080.0234375,29909761586,4549.33984375,36054.4296875,15788.0498046875,4483.259765625,33445.8984375,Wednesday,December,2023,44080.6484375,41980.09765625,39978.390625,39476.33203125,38688.75,37712.74609375,37858.4921875,43292.6640625,44166.6015625,43725.984375,43779.69921875,41243.83203125,41450.22265625,42890.7421875,0,0,-0.7581629055975704,4.207583485664012,9.425228551205594,10.81689473548282,13.072780362508482,15.999098033728028,15.552529392451783,72,31.0,78.87628959256074,33954.96437713294,38509.25078125,43063.53718536705,23.65294733978319,1.0749742184105509,1859.078681727995,525.8036092320187,1333.2750724959762,1250.403108624368
2023-12-07,43292.6640625,44042.58984375,42880.6484375,43769.1328125,27635760671,4585.58984375,36117.37890625,16022.490234375,4473.77001953125,32858.30859375,Thursday,December,2023,43746.4453125,44080.6484375,41980.09765625,39978.390625,39476.33203125,38688.75,37712.74609375,44166.6015625,43725.984375,43779.69921875,41243.83203125,41450.22265625,42890.7421875,43023.97265625,0,0,-1.0372985662227912,-1.787597058870965,3.126639716271801,8.290162224357925,9.66739267525904,11.899878033019935,14.795841052992797,72,31.0,75.27500952917887,33912.86944547621,38844.0498046875,43775.23016389879,25.3896305045733,0.9510699197508186,1965.2086503873725,505.5468623131169,1459.6617880742556,1244.0844155976276
2023-12-08,44166.6015625,44705.515625,43125.296875,43293.13671875,24421116687,4604.3701171875,36247.87109375,16084.6904296875,4523.31005859375,32307.859375,Friday,December,2023,43292.6640625,43746.4453125,44080.6484375,41980.09765625,39978.390625,39476.33203125,38688.75,43725.984375,43779.69921875,41243.83203125,41450.22265625,42890.7421875,43023.97265625,41929.7578125,0,0,2.018673414826884,0.9604351782153728,0.1949906093642636,5.208429775828483,10.476186940053942,11.881219175928297,14.158771122096217,72,31.0,77.41381738419798,33875.011150973754,39223.09472656251,44571.17830215126,27.27007449499871,0.962175540646191,2095.6791825234905,508.81391555938785,1586.8652669641026,1268.094010912083
2023-12-09,43725.984375,44361.2578125,43627.59765625,44180.01953125,17368210171,,,,,,Saturday,December,2023,44166.6015625,43292.6640625,43746.4453125,44080.6484375,41980.09765625,39978.390625,39476.33203125,43779.69921875,41243.83203125,41450.22265625,42890.7421875,43023.97265625,41929.7578125,42240.1171875,0,0,-0.9976252913108657,1.0009093269807365,-0.046771657340016023,-0.8045799575813011,4.158843871793786,9.374048558264093,10.765063837202295,73,31.0,73.94096369840108,33906.46115681547,39540.0666015625,45173.67204630953,28.49568009844681,0.87151321782222,2138.868351632722,441.6024677348953,1697.2658838978266,1229.9201641505056
2023-12-10,43779.69921875,44034.625,43593.28515625,43728.3828125,13000481418,,,,,,Sunday,December,2023,43725.984375,44166.6015625,43292.6640625,43746.4453125,44080.6484375,41980.09765625,39978.390625,41243.83203125,41450.22265625,42890.7421875,43023.97265625,41929.7578125,42240.1171875,41364.6640625,0,0,0.12284421841560886,-0.8760065978870841,1.124983104636124,0.07601510479869347,-0.6827241191261116,4.286796989458826,9.508408253365001,74,24.0,74.09354229052535,34006.49697788156,39855.203710937494,45703.91044399343,29.34977713563096,0.8355011361427901,2152.616396429039,364.2804100249698,1788.3359864040692,1173.5929984076124
